,round,day_week,date,hour,home,goal_home,goal_away,away,public,stadium,referee,number_match
290,30,sat,2016-03-12,15:00,Bournemouth,3,2,Swansea City,11.179,Vitality Stadium,Roger East,12406
291,30,sat,2016-03-12,15:00,Stoke City,1,2,Southampton,27.833,Bet365 Stadium,Lee Mason,12405
292,30,dom,2016-03-13,16:00,Aston Villa,0,2,Tottenham,32.393,Villa Park,Anthony Taylor,12406
293,30,mon,2016-03-14,20:00,Leicester City,1,0,Newcastle Utd,31.824,King Power Stadium,Craig Pawson,12407
294,31,sat,2016-03-19,12:45,Everton,0,2,Arsenal,39.270,Goodison Park,Mark Clattenburg,12410
295,31,sat,2016-03-19,15:00,Watford,1,2,Stoke City,20.759,Vicarage Road Stadium,Craig Pawson,12412
296,31,sat,2016-03-19,15:00,Chelsea,2,2,West Ham,41.623,Stamford Bridge,Robert Madley,12408
297,31,sat,2016-03-19,15:00,Crystal Palace,0,1,Leicester City,25.041,Selhurst Park,Mike Jones,12409
298,31,sat,2016-03-19,15:00,West Brom,0,1,Norwich City,25.039,The Hawthorns,Anthony Taylor,12413
299,31,sat,2016-03-19,17:30,Swansea City,1,0,Aston Villa,20.454,Liberty Stadium,Mike Dean,12411
300,31,dom,2016-03-20,13:30,Newcastle Utd,1,1,Sunderland,52.311,St. James' Park,Martin Atkinson,12415
301,31,dom,2016-03-20,13:30,Southampton,3,2,Liverpool,31.596,St. Mary's Stadium,Roger East,12416
302,31,dom,2016-03-20,16:00,Tottenham,3,0,Bournemouth,36.084,White Hart Lane,Niel Swarbrick,12417
303,31,dom,2016-03-20,16:00,Manchester City,0,1,Manchester Utd,54.557,Etihad Stadium,Michael Oliver,12414
304,32,sat,2016-04-02,12:45,Aston Villa,0,4,Chelsea,31.120,Villa Park,Niel Swarbrick,12419
305,32,sat,2016-04-02,15:00,Arsenal,4,0,Watford,59.981,Emirates Stadium,Anthony Taylor,12418
306,32,sat,2016-04-02,15:00,Norwich City,3,2,Newcastle Utd,27.137,Carrow Road,Mike Dean,12422
307,32,sat,2016-04-02,15:00,Stoke City,2,2,Swansea City,27.649,Bet365 Stadium,Martin Atkinson,12423
308,32,sat,2016-04-02,15:00,West Ham,2,2,Crystal Palace,34.857,Boleyn Ground,Mark Clattenburg,12425
309,32,sat,2016-04-02,15:00,Sunderland,0,0,West Brom,45.144,Stadium of Light,Roger East,12424
310,32,sat,2016-04-02,15:00,Bournemouth,0,4,Manchester City,11.192,Vitality Stadium,Robert Madley,12420
311,32,sat,2016-04-02,17:30,Liverpool,1,1,Tottenham,44.062,Anfield,Jonathan Moss,12421
312,32,dom,2016-04-03,13:30,Leicester City,1,0,Southampton,32.071,King Power Stadium,Michael Oliver,12426
313,32,dom,2016-04-03,16:00,Manchester Utd,1,0,Everton,75.341,Old Trafford,Andre Marriner,12427
314,33,sat,2016-04-09,12:45,West Ham,3,3,Arsenal,34.977,Boleyn Ground,Craig Pawson,12434
315,33,sat,2016-04-09,15:00,Crystal Palace,1,0,Norwich City,24.960,Selhurst Park,Michael Oliver,12429
316,33,sat,2016-04-09,15:00,Swansea City,1,0,Chelsea,20.966,Liberty Stadium,Andre Marriner,12432
317,33,sat,2016-04-09,15:00,Southampton,3,1,Newcastle Utd,31.542,St. Mary's Stadium,Robert Madley,12431
318,33,sat,2016-04-09,15:00,Aston Villa,1,2,Bournemouth,31.057,Villa Park,Martin Atkinson,12428
319,33,sat,2016-04-09,15:00,Watford,1,1,Everton,20.663,Vicarage Road Stadium,Kevin Friend,12433
320,33,sat,2016-04-09,17:30,Manchester City,2,1,West Brom,53.920,Etihad Stadium,Mike Jones,12430
321,33,dom,2016-04-10,13:30,Sunderland,0,2,Leicester City,46.531,Stadium of Light,Anthony Taylor,12436
322,33,dom,2016-04-10,16:00,Tottenham,3,0,Manchester Utd,35.761,White Hart Lane,Mike Dean,12437
323,33,dom,2016-04-10,16:00,Liverpool,4,1,Stoke City,43.688,Anfield,Mark Clattenburg,12435
324,35,wed,2016-04-13,20:00,Crystal Palace,0,0,Everton,23.528,Selhurst Park,Mike Jones,12438
325,34,sat,2016-04-16,12:45,Norwich City,0,3,Sunderland,27.117,Carrow Road,Andre Marriner,12443
326,34,sat,2016-04-16,15:00,Newcastle Utd,3,0,Swansea City,48.949,St. James' Park,Lee Mason,12442
327,34,sat,2016-04-16,15:00,Everton,1,1,Southampton,36.761,Goodison Park,Craig Pawson,12440
328,34,sat,2016-04-16,15:00,Manchester Utd,1,0,Aston Villa,75.411,Old Trafford,Kevin Friend,12441
329,34,sat,2016-04-16,15:00,West Brom,0,1,Watford,25.515,The Hawthorns,Michael Oliver,12444
330,34,sat,2016-04-16,17:30,Chelsea,0,3,Manchester City,41.212,Stamford Bridge,Mike Dean,12439
331,34,dom,2016-04-17,13:30,Bournemouth,1,2,Liverpool,11.386,Vitality Stadium,Mike Jones,12446
332,34,dom,2016-04-17,13:30,Leicester City,2,2,West Ham,32.104,King Power Stadium,Jonathan Moss,12447
333,34,dom,2016-04-17,16:00,Arsenal,1,1,Crystal Palace,59.961,Emirates Stadium,Roger East,12445
334,34,mon,2016-04-18,20:00,Stoke City,0,4,Tottenham,27.442,Bet365 Stadium,Niel Swarbrick,12448
335,27,tue,2016-04-19,19:45,Newcastle Utd,1,1,Manchester City,46.424,St. James' Park,Kevin Friend,12449
336,30,wed,2016-04-20,19:45,West Ham,3,1,Watford,34.857,Boleyn Ground,Mike Dean,12452
337,27,wed,2016-04-20,20:00,Liverpool,4,0,Everton,43.854,Anfield,Robert Madley,12450
338,30,wed,2016-04-20,20:00,Manchester Utd,2,0,Crystal Palace,75.277,Old Trafford,Lee Mason,12451
339,30,thu,2016-04-21,19:45,Arsenal,2,0,West Brom,59.568,Emirates Stadium,Jonathan Moss,12453
340,35,sat,2016-04-23,12:45,Manchester City,4,0,Stoke City,53.974,Etihad Stadium,Robert Madley,12457
341,35,sat,2016-04-23,15:00,Aston Villa,2,4,Southampton,29.729,Villa Park,Niel Swarbrick,12454
