,round,day_week,date,hour,home,goal_home,goal_away,away,public,stadium,referee,number_match
65,7,sat,2015-09-26,15:00,Southampton,3,1,Swansea City,30.704,St. Mary's Stadium,Roger East,12179
66,7,sat,2015-09-26,15:00,Liverpool,3,2,Aston Villa,44.228,Anfield,Jonathan Moss,12176
67,7,sat,2015-09-26,15:00,West Ham,2,2,Norwich City,34.857,Boleyn Ground,Mike Dean,12182
68,7,sat,2015-09-26,17:30,Newcastle Utd,2,2,Chelsea,48.682,St. James' Park,Martin Atkinson,12178
69,7,dom,2015-09-27,16:00,Watford,0,1,Crystal Palace,20.168,Vicarage Road Stadium,Anthony Taylor,12183
70,7,mon,2015-09-28,20:00,West Brom,2,3,Everton,24.240,The Hawthorns,Robert Madley,12184
71,8,sat,2015-10-03,12:45,Crystal Palace,2,0,West Brom,24.033,Selhurst Park,Jonathan Moss,12188
72,8,sat,2015-10-03,15:00,Aston Villa,0,1,Stoke City,33.189,Villa Park,Mike Jones,12185
73,8,sat,2015-10-03,15:00,Norwich City,1,2,Leicester City,27.067,Carrow Road,Mark Clattenburg,12190
74,8,sat,2015-10-03,15:00,Manchester City,6,1,Newcastle Utd,53.850,Etihad Stadium,Kevin Friend,12189
75,8,sat,2015-10-03,15:00,Sunderland,2,2,West Ham,42.932,Stadium of Light,Niel Swarbrick,12191
76,8,sat,2015-10-03,15:00,Bournemouth,1,1,Watford,11.187,Vitality Stadium,Michael Oliver,12186
77,8,sat,2015-10-03,17:30,Chelsea,1,3,Southampton,41.642,Stamford Bridge,Robert Madley,12187
78,8,dom,2015-10-04,13:30,Everton,1,1,Liverpool,39.598,Goodison Park,Martin Atkinson,12193
79,8,dom,2015-10-04,16:00,Arsenal,3,0,Manchester Utd,60.084,Emirates Stadium,Anthony Taylor,12192
80,8,dom,2015-10-04,16:00,Swansea City,2,2,Tottenham,20.845,Liberty Stadium,Mike Dean,12194
81,9,sat,2015-10-17,12:45,Tottenham,0,0,Liverpool,35.926,White Hart Lane,Craig Pawson,12200
82,9,sat,2015-10-17,15:00,West Brom,1,0,Sunderland,24.225,The Hawthorns,Martin Atkinson,12202
83,9,sat,2015-10-17,15:00,Southampton,2,2,Leicester City,30.966,St. Mary's Stadium,Paul Tierney,12199
84,9,sat,2015-10-17,15:00,Chelsea,2,0,Aston Villa,41.596,Stamford Bridge,Roger East,12195
85,9,sat,2015-10-17,15:00,Manchester City,5,1,Bournemouth,54.502,Etihad Stadium,Mike Dean,12198
86,9,sat,2015-10-17,15:00,Crystal Palace,1,3,West Ham,24.812,Selhurst Park,Mark Clattenburg,12196
87,9,sat,2015-10-17,15:00,Everton,0,3,Manchester Utd,39.553,Goodison Park,Jonathan Moss,12197
88,9,sat,2015-10-17,17:30,Watford,0,3,Arsenal,20.721,Vicarage Road Stadium,Mike Jones,12201
89,9,dom,2015-10-18,16:00,Newcastle Utd,6,2,Norwich City,47.006,St. James' Park,Anthony Taylor,12203
90,9,mon,2015-10-19,20:00,Swansea City,0,1,Stoke City,20.044,Liberty Stadium,Robert Madley,12204
91,10,sat,2015-10-24,15:00,Stoke City,0,2,Watford,27.587,Bet365 Stadium,Martin Atkinson,12209
92,10,sat,2015-10-24,15:00,West Ham,2,1,Chelsea,34.977,Boleyn Ground,Jonathan Moss,12210
93,10,sat,2015-10-24,15:00,Norwich City,0,1,West Brom,26.983,Carrow Road,Kevin Friend,12208
94,10,sat,2015-10-24,15:00,Aston Villa,1,2,Swansea City,33.324,Villa Park,Niel Swarbrick,12206
95,10,sat,2015-10-24,15:00,Leicester City,1,0,Crystal Palace,31.752,King Power Stadium,Mike Dean,12207
96,10,sat,2015-10-24,17:30,Arsenal,2,1,Everton,59.985,Emirates Stadium,Lee Mason,12205
97,10,dom,2015-10-25,12:00,Sunderland,3,0,Newcastle Utd,47.653,Stadium of Light,Robert Madley,12214
98,10,dom,2015-10-25,14:05,Manchester Utd,0,0,Manchester City,75.329,Old Trafford,Mark Clattenburg,12213
99,10,dom,2015-10-25,14:05,Bournemouth,1,5,Tottenham,11.332,Vitality Stadium,Roger East,12211
100,10,dom,2015-10-25,16:15,Liverpool,1,1,Southampton,44.171,Anfield,Andre Marriner,12212
101,11,sat,2015-10-31,12:45,Chelsea,1,3,Liverpool,41.577,Stamford Bridge,Mark Clattenburg,12215
102,11,sat,2015-10-31,15:00,Crystal Palace,0,0,Manchester Utd,24.854,Selhurst Park,Mike Jones,12216
103,11,sat,2015-10-31,15:00,Manchester City,2,1,Norwich City,53.418,Etihad Stadium,Robert Madley,12217
104,11,sat,2015-10-31,15:00,Swansea City,0,3,Arsenal,20.937,Liberty Stadium,Kevin Friend,12219
105,11,sat,2015-10-31,15:00,Newcastle Utd,0,0,Stoke City,47.139,St. James' Park,Roger East,12218
106,11,sat,2015-10-31,15:00,West Brom,2,3,Leicester City,24.150,The Hawthorns,Anthony Taylor,12221
107,11,sat,2015-10-31,15:00,Watford,2,0,West Ham,20.598,Vicarage Road Stadium,Keith Stroud,12220
108,11,dom,2015-11-01,13:30,Everton,6,2,Sunderland,36.617,Goodison Park,Andre Marriner,12222
109,11,dom,2015-11-01,16:00,Southampton,2,0,Bournemouth,31.229,St. Mary's Stadium,Craig Pawson,12223
110,11,mon,2015-11-02,20:00,Tottenham,3,1,Aston Villa,34.882,White Hart Lane,Mike Dean,12224
111,12,sat,2015-11-07,12:45,Bournemouth,0,1,Newcastle Utd,11.155,Vitality Stadium,Lee Mason,12225
112,12,sat,2015-11-07,15:00,West Ham,1,1,Everton,34.977,Boleyn Ground,Paul Tierney,12231
113,12,sat,2015-11-07,15:00,Sunderland,0,1,Southampton,41.781,Stadium of Light,Mike Jones,12230
114,12,sat,2015-11-07,15:00,Leicester City,2,1,Watford,32.029,King Power Stadium,Roger East,12226
115,12,sat,2015-11-07,15:00,Norwich City,1,0,Swansea City,27.029,Carrow Road,Mark Clattenburg,12228
116,12,sat,2015-11-07,15:00,Manchester Utd,2,0,West Brom,75.410,Old Trafford,Mike Dean,12227
117,12,sat,2015-11-07,17:30,Stoke City,1,0,Chelsea,27.550,Bet365 Stadium,Anthony Taylor,12229
118,12,dom,2015-11-08,13:30,Aston Villa,0,0,Manchester City,36.757,Villa Park,Craig Pawson,12233
119,12,dom,2015-11-08,16:00,Liverpool,1,2,Crystal Palace,44.115,Anfield,Niel Swarbrick,12234
120,12,dom,2015-11-08,16:00,Arsenal,1,1,Tottenham,60.060,Emirates Stadium,Martin Atkinson,12232
121,13,sat,2015-11-21,12:45,Watford,1,2,Manchester Utd,20.702,Vicarage Road Stadium,Robert Madley,12241
122,13,sat,2015-11-21,15:00,Newcastle Utd,0,3,Leicester City,50.151,St. James' Park,Mike Jones,12238
123,13,sat,2015-11-21,15:00,Swansea City,2,2,Bournemouth,20.878,Liberty Stadium,Andre Marriner,12240
124,13,sat,2015-11-21,15:00,Southampton,0,1,Stoke City,30.039,St. Mary's Stadium,Lee Mason,12239
125,13,sat,2015-11-21,15:00,Everton,4,0,Aston Villa,38.424,Goodison Park,Michael Oliver,12236
126,13,sat,2015-11-21,15:00,Chelsea,1,0,Norwich City,41.582,Stamford Bridge,Craig Pawson,12235
127,13,sat,2015-11-21,15:00,West Brom,2,1,Arsenal,24.343,The Hawthorns,Mark Clattenburg,12242
128,13,sat,2015-11-21,17:30,Manchester City,1,4,Liverpool,54.444,Etihad Stadium,Jonathan Moss,12237
129,13,dom,2015-11-22,16:00,Tottenham,4,1,West Ham,35.968,White Hart Lane,Anthony Taylor,12243
130,13,mon,2015-11-23,20:00,Crystal Palace,0,1,Sunderland,24.361,Selhurst Park,Martin Atkinson,12244
131,14,sat,2015-11-28,15:00,Sunderland,2,0,Stoke City,41.516,Stadium of Light,Mike Dean,12250
132,14,sat,2015-11-28,15:00,Bournemouth,3,3,Everton,11.228,Vitality Stadium,Kevin Friend,12246
133,14,sat,2015-11-28,15:00,Crystal Palace,5,1,Newcastle Utd,24.833,Selhurst Park,Stuart Attwell,12247
134,14,sat,2015-11-28,15:00,Manchester City,3,1,Southampton,54.102,Etihad Stadium,Roger East,12249
135,14,sat,2015-11-28,15:00,Aston Villa,2,3,Watford,35.057,Villa Park,Lee Mason,12245
136,14,sat,2015-11-28,17:30,Leicester City,1,1,Manchester Utd,32.115,King Power Stadium,Craig Pawson,12248
137,14,dom,2015-11-29,12:00,Tottenham,0,0,Chelsea,35.639,White Hart Lane,Michael Oliver,12253
138,14,dom,2015-11-29,14:05,West Ham,1,1,West Brom,34.914,Boleyn Ground,Martin Atkinson,12254
139,14,dom,2015-11-29,16:15,Liverpool,1,0,Swansea City,43.905,Anfield,Anthony Taylor,12251
140,14,dom,2015-11-29,16:15,Norwich City,1,1,Arsenal,27.091,Carrow Road,Jonathan Moss,12252
141,15,sat,2015-12-05,12:45,Stoke City,2,0,Manchester City,27.264,Bet365 Stadium,Martin Atkinson,12259
142,15,sat,2015-12-05,15:00,Southampton,1,1,Aston Villa,29.645,St. Mary's Stadium,Anthony Taylor,12258
143,15,sat,2015-12-05,15:00,Arsenal,3,1,Sunderland,59.937,Emirates Stadium,Robert Madley,12255
144,15,sat,2015-12-05,15:00,West Brom,1,1,Tottenham,23.602,The Hawthorns,Jonathan Moss,12262
145,15,sat,2015-12-05,15:00,Manchester Utd,0,0,West Ham,75.350,Old Trafford,Mark Clattenburg,12257
146,15,sat,2015-12-05,15:00,Swansea City,0,3,Leicester City,20.836,Liberty Stadium,Michael Oliver,12260
147,15,sat,2015-12-05,15:00,Watford,2,0,Norwich City,20.422,Vicarage Road Stadium,Mike Dean,12261
148,15,sat,2015-12-05,17:30,Chelsea,0,1,Bournemouth,41.631,Stamford Bridge,Mike Jones,12256
149,15,dom,2015-12-06,16:00,Newcastle Utd,2,0,Liverpool,51.273,St. James' Park,Andre Marriner,12263
150,15,mon,2015-12-07,20:00,Everton,1,1,Crystal Palace,35.736,Goodison Park,Craig Pawson,12264
151,16,sat,2015-12-12,12:45,Norwich City,1,1,Everton,27.027,Carrow Road,Martin Atkinson,12268
152,16,sat,2015-12-12,15:00,West Ham,0,0,Stoke City,34.857,Boleyn Ground,Andre Marriner,12270
153,16,sat,2015-12-12,15:00,Crystal Palace,1,0,Southampton,24.914,Selhurst Park,Mike Dean,12266
154,16,sat,2015-12-12,15:00,Sunderland,0,1,Watford,43.989,Stadium of Light,Graham Scott,12269
155,16,sat,2015-12-12,15:00,Manchester City,2,1,Swansea City,53.052,Etihad Stadium,Robert Madley,12267
156,16,sat,2015-12-12,17:30,Bournemouth,2,1,Manchester Utd,11.334,Vitality Stadium,Anthony Taylor,12265
157,16,dom,2015-12-13,13:30,Aston Villa,0,2,Arsenal,33.285,Villa Park,Kevin Friend,12271
158,16,dom,2015-12-13,16:00,Liverpool,2,2,West Brom,44.147,Anfield,Craig Pawson,12272
159,16,dom,2015-12-13,16:00,Tottenham,1,2,Newcastle Utd,35.768,White Hart Lane,Roger East,12273
160,16,mon,2015-12-14,20:00,Leicester City,2,1,Chelsea,32.054,King Power Stadium,Mark Clattenburg,12274
161,17,sat,2015-12-19,15:00,Stoke City,1,2,Crystal Palace,27.500,Bet365 Stadium,Robert Madley,12280
162,17,sat,2015-12-19,15:00,West Brom,1,2,Bournemouth,26.127,The Hawthorns,Mike Dean,12281
163,17,sat,2015-12-19,15:00,Southampton,0,2,Tottenham,31.636,St. Mary's Stadium,Kevin Friend,12279
164,17,sat,2015-12-19,15:00,Everton,2,3,Leicester City,39.570,Goodison Park,Jonathan Moss,12276
165,17,sat,2015-12-19,15:00,Chelsea,3,1,Sunderland,41.562,Stamford Bridge,Roger East,12275
166,17,sat,2015-12-19,15:00,Manchester Utd,1,2,Norwich City,75.320,Old Trafford,Michael Oliver,12277
167,17,sat,2015-12-19,17:30,Newcastle Utd,1,1,Aston Villa,48.234,St. James' Park,Martin Atkinson,12278
168,17,dom,2015-12-20,13:30,Watford,3,0,Liverpool,20.707,Vicarage Road Stadium,Mark Clattenburg,12283
169,17,dom,2015-12-20,16:00,Swansea City,0,0,West Ham,20.661,Liberty Stadium,Lee Mason,12282
170,17,mon,2015-12-21,20:00,Arsenal,2,1,Manchester City,60.053,Emirates Stadium,Andre Marriner,12284
171,18,sat,2015-12-26,12:45,Stoke City,2,0,Manchester Utd,27.426,Bet365 Stadium,Kevin Friend,12292
172,18,sat,2015-12-26,15:00,Bournemouth,0,0,Crystal Palace,11.218,Vitality Stadium,Michael Oliver,12286
173,18,sat,2015-12-26,15:00,Tottenham,3,0,Norwich City,35.198,White Hart Lane,Mike Jones,12294
174,18,sat,2015-12-26,15:00,Manchester City,4,1,Sunderland,54.523,Etihad Stadium,Anthony Taylor,12289
175,18,sat,2015-12-26,15:00,Swansea City,1,0,West Brom,20.789,Liberty Stadium,Roger East,12293
176,18,sat,2015-12-26,15:00,Liverpool,1,0,Leicester City,44.123,Anfield,Martin Atkinson,12288
177,18,sat,2015-12-26,15:00,Chelsea,2,2,Watford,41.620,Stamford Bridge,Andre Marriner,12287
178,18,sat,2015-12-26,15:00,Aston Villa,1,1,West Ham,38.193,Villa Park,Mike Dean,12285
179,18,sat,2015-12-26,17:30,Newcastle Utd,0,1,Everton,51.682,St. James' Park,Lee Mason,12290
180,18,sat,2015-12-26,19:45,Southampton,4,0,Arsenal,31.669,St. Mary's Stadium,Jonathan Moss,12291
181,19,mon,2015-12-28,15:00,Watford,1,2,Tottenham,20.730,Vicarage Road Stadium,Anthony Taylor,12300
182,19,mon,2015-12-28,15:00,West Brom,1,0,Newcastle Utd,26.313,The Hawthorns,Mike Jones,12301
183,19,mon,2015-12-28,15:00,Everton,3,4,Stoke City,39.340,Goodison Park,Mark Clattenburg,12297
184,19,mon,2015-12-28,15:00,Norwich City,2,0,Aston Villa,27.071,Carrow Road,Graham Scott,12299
185,19,mon,2015-12-28,15:00,Crystal Palace,0,0,Swansea City,23.714,Selhurst Park,Niel Swarbrick,12296
186,19,mon,2015-12-28,17:30,West Ham,2,1,Southampton,34.977,Boleyn Ground,Michael Oliver,12302
187,19,mon,2015-12-28,17:30,Arsenal,2,0,Bournemouth,59.983,Emirates Stadium,Roger East,12295
188,19,mon,2015-12-28,17:30,Manchester Utd,0,0,Chelsea,75.275,Old Trafford,Martin Atkinson,12298
189,19,tue,2015-12-29,19:45,Leicester City,0,0,Manchester City,32.072,King Power Stadium,Craig Pawson,12303
190,19,wed,2015-12-30,19:45,Sunderland,0,1,Liverpool,45.765,Stadium of Light,Kevin Friend,12304
191,20,sat,2016-01-02,12:45,West Ham,2,0,Liverpool,34.977,Boleyn Ground,Robert Madley,12312
192,20,sat,2016-01-02,15:00,Norwich City,1,0,Southampton,27.022,Carrow Road,Mark Clattenburg,12308
193,20,sat,2016-01-02,15:00,Manchester Utd,2,1,Swansea City,75.415,Old Trafford,Jonathan Moss,12307
194,20,sat,2016-01-02,15:00,Arsenal,1,0,Newcastle Utd,59.257,Emirates Stadium,Anthony Taylor,12305
195,20,sat,2016-01-02,15:00,West Brom,2,1,Stoke City,23.218,The Hawthorns,Lee Mason,12311
196,20,sat,2016-01-02,15:00,Sunderland,3,1,Aston Villa,41.535,Stadium of Light,Craig Pawson,12309
197,20,sat,2016-01-02,15:00,Leicester City,0,0,Bournemouth,32.006,King Power Stadium,Andre Marriner,12306
198,20,sat,2016-01-02,17:30,Watford,1,2,Manchester City,20.676,Vicarage Road Stadium,Martin Atkinson,12310
199,20,dom,2016-01-03,13:30,Crystal Palace,0,3,Chelsea,24.854,Selhurst Park,Kevin Friend,12313
200,20,dom,2016-01-03,16:00,Everton,1,1,Tottenham,38.482,Goodison Park,Michael Oliver,12314
201,21,tue,2016-01-12,19:45,Aston Villa,1,0,Crystal Palace,28.245,Villa Park,Mark Clattenburg,12315
